name,hostid,lat,lon,location
101_SUHUM GTS 6_BTS_HW,10812,43.000344444,41.018933333,
102_SUHUM RTPC_BTS_HW,10813,43.011211111,41.031988889,
103_SUHUM GTS 2_BTS_HW,10814,43.01785,40.972441667,
104_SUHUM NR 2_BTS_HW,10815,43.009922222,40.970655556,
105_KAMAN_BTS_HW,10816,43.093666667,41.004186111,
106_GUMA_BTS_HW,10817,43.055477778,41.041197222,
107_VERESHAGINA_BTS_HW,10818,43.042008333,40.928827778,
108_ESHERA 1_BTS_HW,10819,43.027608333,40.952905556,
109_ACHADARA_BTS_HW,10820,43.038886111,40.981636111,
110_SUHUM NR 4_BTS_HW,10821,43.024180556,40.978922222,
111_SUHUM ATK_BTS_HW,10822,43.018888,40.971666,
112_SUHUM NR 5_BTS_HW,10823,43.011275,40.965169444,
114_GUMISTA_BTS_HW,10825,43.008536111,40.95435,
115_SUHUM NR 7_BTS_HW,10826,43.011877778,40.973080556,
116_SUHUM NR 6_BTS_HW,10827,43.005025,40.969205556,
117_SUHUM DOM PECHATI_BTS_HW,10828,43.023102778,40.982094444,
118_SUHUM TABACHNAI FABRIKA_BTS_HW,10829,43.016716667,40.978508333,
119_SUHUM ST POSELOK 1_BTS_HW,10830,43.011446461,40.979388213,
120_SUHUM ST POSELOK 2_BTS_HW,10831,43.008055556,40.977444444,
121_SUHUM KLAD_BTS_HW,10832,43.018969444,40.993772222,
122_SUHUM KOLOS_BTS_HW,10833,43.015438889,40.985902778,
123_SUHUM SHV FABRIKA_BTS_HW,10834,43.0147,41.004613889,
124_SUHUM VOKZAL_BTS_HW,10835,43.006438889,40.998425,
125_SUHUM VOKZAL DEPO_BTS_HW,10836,43.006633333,40.990677778,
126_MAYAK SCH 12_BTS_HW,10837,42.994822222,40.965791667,
127_SUHUM MAYAK KINO_BTS_HW,10838,42.988278,40.974119,
128_MAYAK ATOLL_BTS_HW,10839,42.982408333,40.972469444,
129_MAYAK RYBKOMBINAT_BTS_HW,10840,42.991916667,40.988541667,
130_SUHUM GRUZ PORT_BTS_HW,10841,42.995530556,40.993725,
131_SUHUM TSMS_BTS_HW,10842,43.001855556,40.992605556,
132_SUHUM REPUBL STADION_BTS_HW,10843,42.999816667,40.998711111,
133_SUHUM KABARDINSKAIA_BTS_HW,10844,43.008611111,41.003808333,
134_SUHUM RYNOK 1_BTS_HW,10845,42.999183333,41.006161111,
135_SUHUM ARHIV_BTS_HW,10846,43.007705556,41.008997222,
136_SUHUM DZONUA_BTS_HW,10847,43.003025,41.009630556,
137_SUHUM ZAGS_BTS_HW,10848,42.997277778,41.010372222,
138_SUHUM DBOLNICA_BTS_HW,10849,43.007844444,41.016725,
139_SUHUM STADION DIN_BTS_HW,10850,43.004411111,41.015147222,
140_SUHUM POCHTAMPT_BTS_HW,10851,43.000355556,41.016011111,
141_SUHUM SPASATEL_BTS_HW,10852,42.995463889,41.017713889,
142_SUHUM SOVMIN_BTS_HW,10853,43.004213889,41.018786111,
143_SUHUM MOR PORT_BTS_HW,10854,42.997047222,41.020619444,
144_SUHUM UVD_BTS_HW,10855,43.003419444,41.021527778,
145_SUHUM NBANK_BTS_HW,10856,43.001213889,41.024058333,
146_SUHUM KURORT_BTS_HW,10857,43.007044444,41.0296,
147_SUHUM ZVANBA_BTS_HW,10858,43.00165,41.0279,
148_SUHUM TV_BTS_HW,10859,43.003691667,41.032883333,
149_SUHUM PVO_BTS_HW,10860,42.999580556,41.031772222,
150_OREH ROSHA_BTS_HW,10861,43.029936111,41.072427778,
151_SUHUM KOMS_BTS_HW,10862,43.011483333,41.059822222,
152_SUHUM BEL MOST_BTS_HW,10863,43.002502778,41.038033333,
153_SUHUM MVO_BTS_HW,10864,42.9972,41.040830556,
154_SUHUM AITAR_BTS_HW,10865,42.994625,41.049008333,
155_SUHUM SINOP_BTS_HW,10866,42.985172222,41.062377778,
156_SUHUM VOKZAL KEL_BTS_HW,10867,42.979291667,41.060086111,
157_AGU 2_BTS_HW,10868,42.976102778,41.0661,
158_AGU 1_BTS_HW,10869,42.97655,41.070947222,
159_CHERNIGOVKA_BTS_HW,10870,43.010277778,41.172825,
160_BAGMARAN_BTS_HW,10871,42.996277778,41.133136111,
161_KASHTAK_BTS_HW,10872,42.961983333,41.077138889,
162_GULRIPSH_BTS_HW,10873,42.94535,41.087697222,
163_MIASNIKOVA_BTS_HW,10874,42.951088889,41.141141667,
164_AGUDZERA SFTI_BTS_HW,10875,42.930777778,41.095794444,
165_AGUDZERA 2_BTS_HW,10876,42.928488889,41.101461111,
166_PSHAP_BTS_HW,10877,42.912488889,41.134825,
167_DRANDA CENTR_BTS_HW,10878,42.873505556,41.149413889,
169_UARCHA_BTS_HW,10880,42.832458333,41.122247222,
170_SHAUMIANOVKA_BTS_HW,10881,42.929169444,41.222633333,
